label,type,probability,gluttony,sloth,lust,pride,greed,envy,wrath,action,special,dt,source
Gospel_of_Thomas,scripture,"Math.pow(1.8, (p)) - 1.0",,,,-1,,,,read,,,"Jesus said, ""Let him who seeks continue seeking until he
finds. When he finds, he will become troubled. When he becomes
troubled, he will be astonished, and he will rule over the All."""
Hymns_of_the_Atharvaveda,scripture,"Math.pow(2, -(p)) - 0.5",,,1,,,,,read,,,"Do thou, O Bowstring, bend thyself around us: make my body
   stone.
  Firm in thy strength drive far away malignities and hateful
   things.
When, closely clinging round the wood, the bowstring sings
   triumph to the swift and whizzing arrow,
  Indra, ward off from us the shaft, the missile.
As in its flight the arrow's point hangs between earth and
   firmament,
  So stand this Munja grass between ailment and dysenteric ill!"
Three_Inca_Prayers,scripture,"Math.pow(1.5, (p)) - 1",,,-1,,,,,read,,,"Whether male or female,
at any rate commander of heat and reproduction,
being one who,
even with His spittle, can work sorcery,
Where art Thou?"
Jaina_Sutras,scripture,"Math.pow(1.9, (p)) - 1",,,,,,,-1,read,,,"See! there are men who control themselves; others pretend only to be houseless, for one destroys this (body of a plant) by bad and injurious doings, and many other beings, besides, which he hurts by means of plants, through his doing acts relating to plants."
Charon,sinner,p == 0 ? 1 : 0,,,,,,,,fight,,,"Charon the demon, with the eyes of glede,
  Beckoning to them, collects them all together,
  Beats with his oar whoever lags behind."
unbaptized_pagan,sinner,p == 1 ? 1 : 0,,,,,,,,baptize,,the,"That they sinned not; and if they merit had,
  'Tis not enough, because they had not baptism
  Which is the portal of the Faith thou holdest;"
adulterers,sinner,"prob = Math.pow(1.5, -p) - 0.5",,,-2,-1,,-1,,fight,,the,"Love, which in gentlest hearts will soonest bloom
  seized my lover with passion for that sweet body
  from which I was torn unshriven to my doom."
glutton,sinner,"Math.pow(2, -(p + 0.1)) - 0.5",-2,-1,,,-1,,,fight,,the,"So we passed onward o'er the filthy mixture
  Of shadows and of rain with footsteps slow,
  Touching a little on the future life."
Pope,sinner,"prob = Math.pow(2, -(p - 0.1)) - 0.5",-1,-1,-1,-1,-1,-1,-1,fight,,the,"Clerks those were who no hairy covering
  Have on the head, and Popes and Cardinals,
  In whom doth Avarice practise its excess."
wrathful,sinner,"prob = Math.pow(1.5, (p)) - 1.0",,,,-1,,-1,-2,fight,,the,"They smote each other not alone with hands,
  But with the head and with the breast and feet,
  Tearing each other piecemeal with their teeth."
heretic,sinner,"prob = Math.pow(1.4, (p)) - 1.0",,-1,-1,-2,,,,fight,,the,"Their cemetery have upon this side
  With Epicurus all his followers,
  Who with the body mortal make the soul;"
robber,sinner,"prob = Math.pow(1.8, (p)) - 1.0",-1,,,-1,-2,,,fight,,the,"But fix thine eyes below; for draweth near
  The river of blood, within which boiling is
  Whoe'er by violence doth injure others."
suicide,sinner,"prob = Math.pow(2, -(p)) - 0.5",,-1,,-2,-1,,,fight,,the,"When the exasperated soul abandons
  The body whence it rent itself away,
  Minos consigns it to the seventh abyss."
sodomite,sinner,"prob = Math.pow(1.5, (p)) - 1",-1,,-2,1,,,,fight,,the,"Those who were going round were far the more,
  And those were less who lay down to their torment,
  But had their tongues more loosed to lamentation."
blasphemer,sinner,"prob = Math.pow(1.9, (p)) - 1",,,,-2,,-1,-1,fight,,the,"One who blasphemes the name of the Lord shall be put to death; the whole congregation shall stone the blasphemer. Aliens as well as citizens, when they blaspheme the Name, shall be put to death."
bugle,special,prob = 0.05,,,,,,,,play,2/speed,the,I have lost my bugle-horn.
flower_twirl,special,prob = 0.05,,,,,,,,twirl,1/m-wrath,the,"At the turning of a flower
His disguise was exposed.
No one in heaven or earth can surpass
Maha-Kashapa's wrinkled face."
holy_water,special,prob = 0.05,,,,,,,,drink,1/m-adjust,the,"Then the priest was summoned, and he at once, having heard the story, said there was witchcraft in it; and he proceeded to pray, and to exorcise the evil spirit in the woman. Besides this he made her be placed in a hot bath, into which he poured some holy water."
moon_shield,special,prob = 0.05,,,,,,,,hold,1/m-wrath,the,Then the moon went up out of the shield into the sky and there it has remained ever since.
precious_stones,special,prob = 0.05,,,,,,,,touch,10/hunger&1/m-greed,the,"The stones glittered green and crimson, and the apes devoured them with an insatiable hunger. I knew that I saw the Celtic Hell, and my own Hell, the Hell of the artist, and that all who sought after beautiful and wonderful things with too avid a thirst, lost peace and form and became shapeless and common."
cosmic_tree,special,prob = 0.05,,,,,,,,touch,1/lust,the,"And when his head was put in the fork of the tree, the tree bore fruit. "
black_lamb,animal,prob = 0.05,,-1,,,,1,,sacrifice,,the,"Neither was the body of the dead lamb found in the grave when they searched for it, though it had been laid by their own hands deep in the earth, and covered with clay."
crane,animal,prob = 0.05,,,,,-1,1,,sacrifice,,the,"Instead, he tightened his grip, and so powerful were his claws that the crane's neck was severed. And the tree-God could not help exclaiming, 'Well done, crayfish!'"
devil_cat,animal,prob = 0.05,1,,,,,,-1,sacrifice,,the,"Yet it is singular that the blood of the black cat is esteemed of wonderful power when mixed with herbs, for charms; and also of great efficacy in potions for the cure of disease; but three drops of f-he blood are sufficient, and it is generally obtained by nipping off a small piece of the tail."
heavenly_goose,animal,prob = 0.025,,,1,,,,1,sacrifice,,the,"It is guarded by the moon, which, as a great white bird was supposed to rest at night upon the Earth, like a goose brooding over her egg."
